id,kraj,leto,cena,agencija,opis,nadstropja,povrsina_zemljisca,povrsina_hise,ima_klet,drzava
6408971,"NOVO MESTO, BREG - EDINSTVENA LOKACIJA V CENTRU NOVEGA MESTA...",1750,280000,ABC nepremičnine d.o.o.,"52 m2, samostojna, zgrajena l. 1750, 941 m2 zemljišča, prodamo. Cena: 280.000,00 EUR",,941,52,,Slovenija
6409798,PERNOVO,2021,148500,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o.","108 m2, samostojna, zgrajena l. 2021, 339 m2 zemljišča, P+M, Na robu mesta Žalec, v kraju Pernovo gradimo naselje samost...",P+M,339,108,False,Slovenija
6428546,"SEČA, DEL HIŠE",1970,380000,Vila Portorož d.o.o.,"161 m2, samostojna, zgrajena l. 1970, adaptirana l. 2019, 420 m2 zemljišča, P+1, Dve stanovanji v večstanovanjski hiši n...",P+1,420,161,False,Slovenija
6425067,SLOVENSKI JAVORNIK,2015,330000,Pikado d.o.o.,"215 m2, samostojna, adaptirana l. 2015, 640 m2 zemljišča, K+P+M, Slovenski Javornik - Hiša na mirni lokaciji, z velikim ...",K+P+M,640,215,True,Slovenija
6430782,SNEŽNIK,1960,180000,Nepremičnine Land d.o.o.,"139,4 m2, samostojna, zgrajena l. 1960, adaptirana l. 2001, 851 m2 zemljišča, prodamo. Cena: 180.000,00 EUR",,851,139,,Slovenija
6416038,"SP. ŠIŠKA, ŽELEZNIKARJEVA 5",1908,380000,Zasebna ponudba,"300 m2, samostojna, zgrajena l. 1908, adaptirana l. 1970, 286 m2 zemljišča, K+P+1+2+M, prodajata se 2/3 večstanovanjske ...",K+P+1+2+M,286,300,True,Slovenija
6430623,"SP. ZADOBROVA, ZAJČJA DOBRAVA",2021,435000,Zasebna ponudba,"269,7 m2, dvojček, novogradnja - zgr. l. 2021, 360 m2 zemljišča, K+P+1, tri lastniška parkirna mesta, III. pgf, kupec ne...",K+P+1,360,269,True,Slovenija
6438331,"STUDENCI, MARIBOR",1976,149000,"Idila nepremičnine, Damijan Kokol s.p.","100,2 m2, vrstna, zgrajena l. 1976, adaptirana l. 1997, 148 m2 zemljišča, K+P+1+M, prodamo. Cena: 149.000,00 EUR",K+P+1+M,148,100,True,Slovenija
6246501,"SVETO, TIPIČNA KRAŠKA DOMAČIJA Z LEPIM VRTOM",1870,135000,ABC nepremičnine d.o.o.,"150 m2, vrstna, zgrajena l. 1870, adaptirana l. 1985, 527 m2 zemljišča, prodamo. Cena: 135.000,00 EUR",,527,150,,Slovenija
6418971,"ŠARED, MODERNO ZASNOVANA ENOTA DVOJČKA Z LEPIM POGLEDOM V IS...",2020,495000,"Agencija za posredovanje v prometu z nepremičninami, Aline Belinger s.p.","180 m2, dvojček, zgrajen l. 2020, 612 m2 zemljišča, prodamo. Cena: 495.000,00 EUR",,612,180,,Slovenija
6440302,"ŠKOFJA LOKA, ČUDOVITA DVOSTANOVANJSKA HIŠA, NA IDILIČNI LOKA...",1961,434000,Mreža nepremičnin d.o.o.,"273,8 m2, dvostanovanjska, zgrajena l. 1961, adaptirana l. 2004, 834 m2 zemljišča, prodamo. Cena: 434.000,00 EUR",,834,273,,Slovenija
6437014,ŠMARJE - SAP,1986,455000,Svet Real d.o.o.,"304 m2, samostojna, zgrajena l. 1986, adaptirana l. 2021, 838 m2 zemljišča, prodamo. Cena: 455.000,00 EUR",,838,304,,Slovenija
6383120,TABOR,2021,255000,Dodoma d.o.o.,"155,45 m2, dvojček, novogradnja - zgr. l. 2021, 250,7 m2 zemljišča, P+1, prodamo. Cena: 255.000,00 EUR",P+1,,155,False,Slovenija
6413753,TRNOVO,2021,889000,"Stoja trade, d.o.o., Ljubljana","216,96 m2, vrstna, zgrajena l. 2021, 179 m2 zemljišča, P+1+M, prodamo. Cena: 889.000,00 EUR",P+1+M,179,216,False,Slovenija
6414014,"TROJANE, OKOLICA IZLAKE",1975,360000,Premium nepremičnine d.o.o.,"534 m2, samostojna, zgrajena l. 1975, adaptirana l. 2000, 963 m2 zemljišča, K+P+M, Možna menjava za stanovanje ali manjš...",K+P+M,963,534,True,Slovenija
6422420,TRŠKA GORA,1910,360000,NNRN nepremičnine d.o.o. Novo mesto,"276 m2, samostojna, zgrajena l. 1910, adaptirana l. 1980, 9.337 m2 zemljišča, prodamo. Cena: 360.000,00 EUR",,9337,276,,Slovenija
6413903,VEVČE,1961,289000,MESTO NEPREMIČNIN d.o.o.,"138 m2, vrstna, zgrajena l. 1961, 371 m2 zemljišča, K+P+1+M, vrstna hiša, urejeno in prostorno zemljišče, lega S-J, prod...",K+P+1+M,371,138,True,Slovenija
6435690,VIR,1956,260000,"MA - nepremičninska družba, Marko Alič s.p.","175 m2, samostojna, adaptirana l. 1956, 904 m2 zemljišča, K+P+M, na odlični frekventni lokaciji, območje centralnih deja...",K+P+M,904,175,True,Slovenija
6437288,VRHNIKA,2012,760000,Mreža nepremičnin d.o.o.,"249 m2, samostojna, zgrajena l. 2012, prodamo. Cena: 760.000,00 EUR",,,249,,Slovenija
6371906,ZABREZNICA,1800,68000,Zasebna ponudba,"90 m2, samostojna, zgrajena l. 1800, 161 m2 zemljišča, P+1, Prodaja se parcela s hišo. Le streljaj (5min z avtom) do avt...",P+1,161,90,False,Slovenija
6263153,"ZGORNJE RADVANJE, ROŽNODOLSKI GAJ - LACKOVA CESTA",2021,356719,SH Global d.o.o.,"200 m2, dvojček, novogradnja - zgr. l. 2021, 324 m2 zemljišča, P+1, ZADNJA - PREMIUM HIŠA &quot;S panoramskim pogledom n...",P+1,324,200,False,Slovenija
6401638,"ZGORNJE RADVANJE, ROŽNODOLSKI GAJ - LACKOVA CESTA",2021,394200,SH Global d.o.o.,"301 m2, samostojna, novogradnja, začetek gradnje l. 2021, 345 m2 zemljišča, P+1, NOVO - V najbolj mirnem in sončnem pred...",P+1,345,301,False,Slovenija
6438665,ZGORNJI BRNIK,2005,497000,K3 Kern d.o.o.,"177,4 m2, samostojna, zgrajena l. 2005, 669 m2 zemljišča, prodamo. Cena: 497.000,00 EUR",,669,177,,Slovenija
6437205,ABITANTI,1825,105000,Hiša nepremičnine 1 d.o.o.,"60 m2, dvojček, zgrajen l. 1825, 57.533 m2 zemljišča, prodamo. Cena: 105.000,00 EUR",,57533,60,,Slovenija
6342774,ADLEŠIČI,2007,340000,Zasebna ponudba,"366,33 m2, samostojna, zgrajena l. 2007, adaptirana l. 2021, 1.408 m2 zemljišča, K+P+M, V neposredni bližini reke Kolpe ...",K+P+M,1408,366,True,Slovenija
6351944,AJDOVŠČINA,2011,305000,Zasebna ponudba,"262 m2, samostojna, novogradnja - zgr. l. 2011, 362 m2 zemljišča, K+P+1+M, AJDOVŠČINA, 262 m2, zemljišča 362 m2. Novogra...",K+P+1+M,362,262,True,Slovenija
6374892,"AJDOVŠČINA, CENTER",1996,258000,EURO NINE d.o.o.,"258 m2, vrstna, zgrajena l. 1996, 236 m2 zemljišča, P+M, prodamo. Cena: 258.000,00 EUR",P+M,236,258,False,Slovenija
6438039,"AJDOVŠČINA, DOLENJE",1998,290000,"Aeon nepremičnine, d.o.o., PE Izola","214 m2, vrstna, zgrajena l. 1998, 423 m2 zemljišča, P+1, prodamo. Cena: 290.000,00 EUR",P+1,423,214,False,Slovenija
6427426,AMBROŽ POD KRVAVCEM,1999,480000,"Aeon nepremičnine, d.o.o.","134,9 m2, dvostanovanjska, zgrajena l. 1999, adaptirana l. 2018, 333 m2 zemljišča, P+1, prodamo. Cena: 480.000,00 EUR",P+1,333,134,False,Slovenija
6424171,ANDRENCI,1863,110000,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.","162,2 m2, samostojna, zgrajena l. 1863, adaptirana l. 2001, 11.402 m2 zemljišča, prodamo. Cena: 110.000,00 EUR",,11402,162,,Slovenija
6342085,ANKARAN,2001,495000,"STAN nepremičnine d.o.o., Ljubljana","140,5 m2, vrstna, zgrajena l. 2001, 180,67 m2 zemljišča, Pogled na morje, terasa, urejeno parkiranje, prodamo. Cena: 495...",,,140,,Slovenija
6427113,ANKARAN,2016,462000,Moneta Invest d.o.o.,"169 m2, dvojček, zgrajen l. 2016, 179 m2 zemljišča, K+P+1, prodamo. Cena: 462.000,00 EUR",K+P+1,179,169,True,Slovenija
6188847,ANKARAN,1990,330000,"Agencija Stenat 2000, Jagoda Nikolič s.p.","205 m2, vrstna, zgrajena l. 1990, 150 m2 zemljišča, P+1+M, Ankaran, 1 km od morja in plaže, vrstna hiša, pogled na morje...",P+1+M,150,205,False,Slovenija
6437050,ANKARAN,1984,394000,"Agencia d.o.o., PE Obala","213,5 m2, vrstna, zgrajena l. 1984, adaptirana l. 2019, P+1+M, prodamo. Cena: 394.000,00 EUR",P+1+M,,213,False,Slovenija
6415044,ANKARAN,1980,437000,Market center Omnis d.o.o.,"420 m2, samostojna, zgrajena l. 1980, 700 m2 zemljišča, P+1+M/3 nad., prodamo. Cena: 437.000,00 EUR",P+1+M,700,420,False,Slovenija
6403347,"ANKARAN, DOLGE NJIVE",2021,330000,"Apertura, poslovanje z nepremičninami, d.o.o.","230 m2, dvojček, novogradnja, začetek gradnje l. 2021, 563 m2 zemljišča, P+1+2, V Ankaranu prodamo dvojček v III. gradbe...",P+1+2,563,230,False,Slovenija
6424347,"ANKARAN, HRVATINI",2016,397000,Moneta Invest d.o.o.,"92,8 m2, dvojček, zgrajen l. 2016, 175 m2 zemljišča, P+1, prodamo. Cena: 397.000,00 EUR",P+1,175,92,False,Slovenija
6401858,"ANKARAN, HRVATINI",2010,498000,"Aeon nepremičnine, d.o.o., PE Izola","181,8 m2, dvojček, zgrajen l. 2010, P+1, prodamo. Cena: 498.000,00 EUR",P+1,,181,False,Slovenija
5385687,"ANKARAN, HRVATINI",1990,240000,"Agencija Stenat 2000, Jagoda Nikolič s.p.","210 m2, dvojček, adaptiran l. 1990, 272 m2 zemljišča, 2 km oddaljeno od morja, v treh etažah, pomožni objekt, garaža, ve...",,272,210,,Slovenija
6427370,ANŽE,1966,107000,NNRN nepremičnine d.o.o. Novo mesto,"185,6 m2, samostojna, zgrajena l. 1966, 32.462 m2 zemljišča, prodamo. Cena: 107.000,00 EUR",,32462,185,,Slovenija
6436249,APAČE,1979,140000,"Nepremičninska družba d.o.o., pe RE/MAX Poetovio","250 m2, samostojna, zgrajena l. 1979, 5.501 m2 zemljišča, K+P+1, Dve hiši na večjem zemljišču, prodamo. Cena: 140.000,00...",K+P+1,5501,250,True,Slovenija
6369494,APAČE,1850,220000,"STAN nepremičnine d.o.o., Ljubljana","740 m2, samostojna, zgrajena l. 1850, 2.782 m2 zemljišča, Znamenit objekt, primeren za investicijo, prodamo. Cena: 220.0...",,2782,740,,Slovenija
6254256,"APAČE, ŽEPOVCI OB LOKALNI CESTI",1980,110000,Zasebna ponudba,"300 m2, samostojna, zgrajena l. 1980, adaptirana l. 2011, 575 m2 zemljišča, K+P+M, Žepovci, ob lokalni cesti, 300 m2, sa...",K+P+M,575,300,True,Slovenija
